Country Name,Country Code,Time,Time Code,Access to clean fuels and technologies for cooking (% of population) [EG.CFT.ACCS.ZS],Domestic general government health expenditure (% of general government expenditure) [SH.XPD.GHED.GE.ZS],"Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Mortality rate, infant, female (per 1,000 live births) [SP.DYN.IMRT.FE.IN]","Mortality rate, infant, male (per 1,000 live births) [SP.DYN.IMRT.MA.IN]",Domestic general government health expenditure per capita (current US$) [SH.XPD.GHED.PC.CD],"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) [EN.ATM.PM25.MC.M3]"
Afghanistan,AFG,2000,YR2000,5.5,..,92,86.5,97.2,..,64.767279818427
Afghanistan,AFG,2001,YR2001,6.6,..,89.3,84,94.4,..,64.5975727246894
Afghanistan,AFG,2002,YR2002,7.7,1.21245599,86.6,81.5,91.3,0.15160967,64.4168880125936
Afghanistan,AFG,2003,YR2003,9,5.45767879,83.7,78.8,88.4,1.29700564,64.1762314183241
Afghanistan,AFG,2004,YR2004,10.5,3.60296822,80.9,76,85.5,1.18617905,63.8266086780653
Afghanistan,AFG,2005,YR2005,11.9,3.37097836,78,73.3,82.4,1.33553256,63.3190255280017
Afghanistan,AFG,2006,YR2006,13.5,2.72002935,75.1,70.5,79.5,1.35533866,61.5146494273075
Afghanistan,AFG,2007,YR2007,15.1,2.60708547,72.3,67.8,76.6,1.84962338,58.0837850174423
Afghanistan,AFG,2008,YR2008,16.6,3.00128436,69.6,65.3,73.8,2.44655618,54.1911438080183
Afghanistan,AFG,2009,YR2009,18.3,2.51257253,67,62.9,71.1,2.34359473,51.0014373086482
Afghanistan,AFG,2010,YR2010,19.9,2.25547075,64.6,60.6,68.4,2.55007354,49.6793770289443
Afghanistan,AFG,2011,YR2011,21.3,2.18811917,62.3,58.3,66,2.93559049,61.8170559083924
Afghanistan,AFG,2012,YR2012,22.9,1.37000275,60.1,56.2,63.8,2.28442458,70.9223165078033
Afghanistan,AFG,2013,YR2013,24.5,1.77506959,58.1,54.3,61.8,2.83484999,73.1318159038053
Afghanistan,AFG,2014,YR2014,26.1,1.86067402,56.2,52.5,59.9,2.98555852,77.1437275538632
Afghanistan,AFG,2015,YR2015,27.6,2.01440597,54.6,50.9,58.1,3.10637149,73.4908176326415
Afghanistan,AFG,2016,YR2016,28.8,2.14110541,53,49.4,56.5,3.12218743,72.7659101386992
Afghanistan,AFG,2017,YR2017,30.3,2.31911564,51.5,47.9,55,3.40957279,65.8623470043896
Afghanistan,AFG,2018,YR2018,31.4,1.90904689,50.1,46.5,53.6,2.77333833,67.2271774798558
Afghanistan,AFG,2019,YR2019,32.6,1.77526009,48.8,45.1,52.2,2.48787785,58.3308722306744
Afghanistan,AFG,2020,YR2020,33.8,4.24602795,47.4,43.8,50.8,6.1311352,46.0870936659706
Pakistan,PAK,2000,YR2000,23.5,6.25985861,84.8,78.8,90.5,5.37671845,59.1634156257704
Pakistan,PAK,2001,YR2001,24.4,6.30668402,82.9,76.8,88.6,4.68429437,59.2619346333226
Pakistan,PAK,2002,YR2002,25.8,6.26631975,81.1,74.9,87,5.56681393,59.3494608897258
Pakistan,PAK,2003,YR2003,27.1,3.98045206,79.5,73.3,85.4,3.49404756,59.3699841751069
Pakistan,PAK,2004,YR2004,27.9,4.50923157,78.1,71.7,84.2,4.18621471,59.2674942695927
Pakistan,PAK,2005,YR2005,29.2,3.9776814,76.8,70.3,82.9,4.27961081,58.9859809533101
Pakistan,PAK,2006,YR2006,30.2,3.20882916,75.5,69,81.7,4.19118379,57.4454012873738
Pakistan,PAK,2007,YR2007,31.6,2.82065868,74.3,67.7,80.5,4.59481843,54.3352703751572
Pakistan,PAK,2008,YR2008,32.8,2.22328711,73,66.4,79.2,3.87381816,50.7539150601749
Pakistan,PAK,2009,YR2009,34,2.96312976,71.6,65.1,77.8,4.85261893,47.7996621859414
Pakistan,PAK,2010,YR2010,35.3,2.88965487,70.2,63.9,76.2,5.27391566,46.5708385959715
Pakistan,PAK,2011,YR2011,36.5,2.54317451,68.7,62.6,74.5,5.24467205,55.754979166674
Pakistan,PAK,2012,YR2012,37.95,3.17061043,67.1,61,72.9,7.28846874,66.8719540673752
Pakistan,PAK,2013,YR2013,39.1,3.24930596,65.5,59.4,71.2,7.6059095,68.5813248667094
Pakistan,PAK,2014,YR2014,40.4,3.34264088,63.8,57.8,69.5,8.02983676,71.7121701033462
Pakistan,PAK,2015,YR2015,42,3.85042071,62.2,56.3,67.8,9.63588473,68.0068767608943
Pakistan,PAK,2016,YR2016,43.3,3.96031761,60.5,54.8,66,10.26116199,68.5228297189002
Pakistan,PAK,2017,YR2017,44.5,4.77192211,58.9,53.3,64.2,14.22169367,61.7967274713574
Pakistan,PAK,2018,YR2018,46.3,4.8980689,57.3,51.8,62.5,13.70200224,62.3894976390133
Pakistan,PAK,2019,YR2019,47.8,4.94922209,55.7,50.3,60.7,12.32831762,52.8571976958305
